Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,LastUpdated
Cambodia,14520,730.0,103.0,6.0,5369,169.0,9048,,6.0,914398.0,54072.0,16910843.0,2021-05-02 17:42:00+00:00
Somalia,13915,,713.0,,5847,,7355,,44.0,111801.0,6876.0,16258940.0,2021-05-02 17:42:00+00:00
Mali,13896,,485.0,,8685,,4726,,23.0,255738.0,12336.0,20731747.0,2021-05-02 17:42:00+00:00
Guyana,13404,,298.0,,11299,,1807,17.0,377.0,123880.0,156868.0,789709.0,2021-05-02 17:42:00+00:00
Burkina Faso,13319,,157.0,,13053,,109,,7.0,179998.0,8421.0,21376120.0,2021-05-02 17:42:00+00:00
Tajikistan,13308,,90.0,,13218,,0,,9.0,,,9714711.0,2021-05-02 17:42:00+00:00
Andorra,13282,50.0,127.0,2.0,12753,69.0,402,18.0,1642.0,193595.0,2502262.0,77368.0,2021-05-02 17:42:00+00:00
Haiti,13094,,254.0,,12148,,692,,22.0,60085.0,5217.0,11517868.0,2021-05-02 17:42:00+00:00
Togo,12992,,123.0,,11249,,1620,,15.0,311597.0,36923.0,8439039.0,2021-05-02 17:42:00+00:00
Belize,12668,,323.0,,12218,,127,1.0,800.0,117641.0,291476.0,403604.0,2021-05-02 17:42:00+00:00
Cura�ao,12207,,110.0,,11665,,432,22.0,668.0,95244.0,578460.0,164651.0,2021-05-02 17:42:00+00:00
Hong Kong,11785,2.0,210.0,,11445,13.0,130,3.0,28.0,11193673.0,1483092.0,7547522.0,2021-05-02 17:42:00+00:00
Martinique,11253,,75.0,,98,,11080,33.0,200.0,157145.0,419028.0,375023.0,2021-05-02 17:42:00+00:00
Papua New Guinea,11206,87.0,115.0,,9475,173.0,1616,,13.0,93283.0,10265.0,9087299.0,2021-05-02 17:42:00+00:00
Djibouti,11157,36.0,146.0,1.0,10816,68.0,195,,146.0,149918.0,149931.0,999911.0,2021-05-02 17:42:00+00:00
Trinidad and Tobago,11072,,171.0,,8546,,2355,8.0,122.0,131927.0,94015.0,1403260.0,2021-05-02 17:42:00+00:00
Lesotho,10733,2.0,318.0,2.0,6267,,4148,,147.0,80556.0,37357.0,2156361.0,2021-05-02 17:42:00+00:00
Congo,10678,,144.0,,8208,,2326,,26.0,92500.0,16429.0,5630256.0,2021-05-02 17:42:00+00:00
Aruba,10650,,99.0,,10402,,149,14.0,924.0,148931.0,1390021.0,107143.0,2021-05-02 17:42:00+00:00
South Sudan,10583,,115.0,,10312,,156,,10.0,151582.0,13411.0,11302639.0,2021-05-02 17:42:00+00:00
Bahamas,10453,,199.0,,9494,,760,4.0,502.0,86984.0,219454.0,396365.0,2021-05-02 17:42:00+00:00
Suriname,10428,,204.0,,9359,,865,26.0,345.0,51013.0,86317.0,590998.0,2021-05-02 17:42:00+00:00
Benin,7821,,99.0,,7580,,142,35.0,8.0,590214.0,47654.0,12385279.0,2021-05-02 17:42:00+00:00
Equatorial Guinea,7694,,112.0,,7279,,303,7.0,78.0,123169.0,85479.0,1440927.0,2021-05-02 17:42:00+00:00
Nicaragua,6898,,182.0,,4225,,2491,,27.0,,,6689960.0,2021-05-02 17:42:00+00:00
Iceland,6472,,29.0,,6253,,190,4.0,85.0,600005.0,1748857.0,343084.0,2021-05-02 17:42:00+00:00
CAR,6411,,88.0,,5112,,1211,2.0,18.0,40907.0,8350.0,4899311.0,2021-05-02 17:42:00+00:00
Yemen,6341,16.0,1233.0,4.0,2875,81.0,2233,23.0,41.0,25932.0,854.0,30369014.0,2021-05-02 17:42:00+00:00
Gambia,5901,3.0,175.0,1.0,5419,62.0,307,3.0,71.0,73324.0,29654.0,2472661.0,2021-05-02 17:42:00+00:00
Seychelles,5873,,28.0,,5101,,744,,283.0,21504.0,217535.0,98853.0,2021-05-02 17:42:00+00:00
Niger,5229,,191.0,,4855,,183,18.0,8.0,99176.0,3979.0,24926972.0,2021-05-02 17:42:00+00:00
San Marino,5066,,90.0,,4917,,59,4.0,2648.0,61499.0,1809326.0,33990.0,2021-05-02 17:42:00+00:00
Chad,4824,,170.0,,4430,,224,,10.0,114046.0,6783.0,16814496.0,2021-05-02 17:42:00+00:00
Saint Lucia,4560,,74.0,,4368,,118,2.0,401.0,40466.0,219536.0,184325.0,2021-05-02 17:42:00+00:00
Gibraltar,4283,,94.0,,4186,,3,1.0,2791.0,234943.0,6975121.0,33683.0,2021-05-02 17:42:00+00:00
Sierra Leone,4062,5.0,79.0,,3078,2.0,905,,10.0,152747.0,18832.0,8111176.0,2021-05-02 17:42:00+00:00
Channel Islands,4055,,86.0,,3956,,13,1.0,491.0,454413.0,2593770.0,175194.0,2021-05-02 17:42:00+00:00
Burundi,4038,20.0,6.0,,773,,3259,,0.5,90019.0,7389.0,12182658.0,2021-05-02 17:42:00+00:00
Barbados,3863,,44.0,,3793,10.0,26,,153.0,154341.0,536525.0,287668.0,2021-05-02 17:42:00+00:00
Comoros,3839,1.0,146.0,,3675,1.0,18,,165.0,,,884919.0,2021-05-02 17:42:00+00:00
Guinea-Bissau,3736,,67.0,,3327,,342,9.0,33.0,63774.0,31785.0,2006429.0,2021-05-02 17:42:00+00:00
Eritrea,3671,,10.0,,3492,,169,,3.0,23693.0,6605.0,3587124.0,2021-05-02 17:42:00+00:00
Vietnam,2942,,35.0,,2549,1.0,358,,0.4,2598753.0,26500.0,98066119.0,2021-05-02 17:42:00+00:00
Liechtenstein,2940,4.0,57.0,,2792,,91,6.0,1491.0,39109.0,1023287.0,38219.0,2021-05-02 17:42:00+00:00
New Zealand,2618,5.0,26.0,,2568,4.0,24,,5.0,2026948.0,405219.0,5002100.0,2021-05-02 17:42:00+00:00
Monaco,2457,,32.0,,2369,,56,1.0,811.0,51953.0,1316165.0,39473.0,2021-05-02 17:42:00+00:00
Timor-Leste,2444,48.0,4.0,1.0,1183,26.0,1257,,3.0,68962.0,51494.0,1339228.0,2021-05-02 17:42:00+00:00
Bermuda,2393,,28.0,,1820,,545,28.0,451.0,239584.0,3858905.0,62086.0,2021-05-02 17:42:00+00:00
Turks and Caicos,2390,,17.0,,2343,,30,2.0,434.0,55521.0,1418125.0,39151.0,2021-05-02 17:42:00+00:00
Sao Tome and Principe,2310,8.0,35.0,,2244,3.0,31,,157.0,12999.0,58415.0,222528.0,2021-05-02 17:42:00+00:00
Sint Maarten,2230,,27.0,,2187,,16,1.0,624.0,26359.0,609034.0,43280.0,2021-05-02 17:42:00+00:00
Liberia,2099,,85.0,,1949,,65,2.0,16.0,95315.0,18487.0,5155897.0,2021-05-02 17:42:00+00:00
St. Vincent Grenadines,1864,,11.0,,1719,,134,2.0,99.0,45183.0,406201.0,111233.0,2021-05-02 17:42:00+00:00
Saint Martin,1745,,12.0,,1399,,334,7.0,306.0,27588.0,703560.0,39212.0,2021-05-02 17:42:00+00:00
Isle of Man,1590,1.0,29.0,,1548,,13,1.0,340.0,44761.0,524091.0,85407.0,2021-05-02 17:42:00+00:00
Caribbean Netherlands,1559,,16.0,,1530,,13,,605.0,10034.0,379716.0,26425.0,2021-05-02 17:42:00+00:00
Antigua and Barbuda,1232,,32.0,,1014,,186,1.0,325.0,16700.0,169366.0,98603.0,2021-05-02 17:42:00+00:00
Mauritius,1211,,17.0,,1106,18.0,88,,13.0,358675.0,281640.0,1273525.0,2021-05-02 17:42:00+00:00
Taiwan,1137,5.0,12.0,,1055,2.0,70,,0.5,539626.0,22623.0,23852669.0,2021-05-02 17:42:00+00:00
Bhutan,1111,5.0,1.0,,993,3.0,117,,1.0,711726.0,914038.0,778661.0,2021-05-02 17:42:00+00:00
St. Barth,974,,1.0,,462,,511,,101.0,26385.0,2664613.0,9902.0,2021-05-02 17:42:00+00:00
Laos,933,112.0,,,51,,882,,,177325.0,24083.0,7363088.0,2021-05-02 17:42:00+00:00
Diamond Princess,712,,13.0,,699,,0,,,,,,2021-05-02 17:42:00+00:00
Faeroe Islands,664,,1.0,,662,,1,,20.0,253211.0,5165779.0,49017.0,2021-05-02 17:42:00+00:00
Cayman Islands,543,,2.0,,526,,15,,30.0,90031.0,1356665.0,66362.0,2021-05-02 17:42:00+00:00
Tanzania,509,,21.0,,183,,305,7.0,0.3,,,61137218.0,2021-05-02 17:42:00+00:00
